order_id,customer_id,product_id,order_date,quantity
5001,1690,152,2025-12-04,1
5002,1574,182,2025-08-03,2
5003,378,168,2025-03-17,4
5004,182,102,2026-01-17,3
5005,516,114,2025-04-02,3
5006,1165,161,2025-08-06,2
5007,913,180,2025-12-13,2
5008,1419,172,2025-08-02,2
5009,118,129,2025-10-30,3
5010,1628,139,2025-12-18,3
5011,395,194,2025-06-21,4
5012,734,119,2025-05-23,4
5013,1257,113,2025-08-27,5
5014,1298,174,2026-01-29,5
5015,1587,145,2025-09-06,4
5016,607,185,2026-01-26,3
5017,807,153,2025-06-20,2
5018,736,119,2025-02-25,2
5019,788,150,2025-07-11,1
5020,1486,168,2025-09-11,5
5021,373,172,2025-03-29,4
5022,743,190,2025-10-09,2
5023,1611,200,2025-12-09,1
5024,1601,186,2025-03-26,1
5025,972,160,2025-04-19,2
5026,191,133,2025-12-04,1
5027,92,160,2025-06-03,2
5028,176,185,2025-06-07,1
5029,949,132,2025-03-09,5
5030,1330,194,2025-04-25,2
5031,707,121,2025-09-03,3
5032,285,190,2025-08-16,1
5033,1642,145,2025-05-04,3
5034,399,199,2026-01-26,1
5035,1649,114,2025-09-28,3
5036,1846,140,2025-05-13,3
5037,1173,191,2025-10-16,3
5038,108,180,2025-10-23,3
5039,317,194,2026-01-29,3
5040,673,175,2025-12-24,4
5041,256,165,2025-12-15,5
5042,844,195,2025-08-17,2
5043,1230,192,2025-05-29,4
5044,651,160,2025-08-11,2
5045,656,163,2025-05-09,3
5046,22,106,2026-01-20,2
5047,328,196,2025-02-25,5
5048,1677,153,2025-12-29,1
5049,714,199,2026-01-20,4
5050,210,147,2025-10-31,3
5051,961,140,2025-11-18,4
5052,1626,119,2025-06-22,5
5053,1908,156,2025-12-15,5
5054,1901,160,2025-03-09,3
5055,50,133,2025-05-01,3
5056,364,168,2025-05-29,5
5057,1243,158,2025-05-24,2
5058,1134,154,2025-04-18,3
5059,1696,160,2025-11-02,3
5060,1400,197,2025-09-05,5
5061,359,124,2025-04-08,5
5062,1562,153,2025-08-08,3
5063,626,158,2025-02-07,5
5064,623,114,2025-04-24,4
5065,1209,127,2025-04-02,4
5066,1261,163,2025-02-02,1
5067,1628,151,2025-06-14,3
5068,628,138,2025-07-29,1
5069,740,161,2025-12-30,4
5070,1624,119,2025-02-05,5
5071,1148,164,2025-02-06,4
5072,1708,142,2025-05-29,5
5073,68,166,2025-11-04,3
5074,1345,181,2025-09-04,3
5075,638,194,2025-09-04,1
5076,1292,102,2025-12-17,1
5077,1424,162,2025-03-13,4
5078,424,123,2025-12-07,2
5079,876,111,2025-06-19,1
5080,1963,137,2025-03-28,2
5081,1487,161,2025-09-02,1
5082,801,200,2026-01-24,2
5083,990,149,2025-04-01,3
5084,834,188,2025-10-26,1
5085,1728,105,2025-02-06,5
5086,639,185,2025-03-03,4
5087,1254,144,2025-08-20,2
5088,1211,159,2025-11-04,1
5089,895,125,2025-11-26,3
5090,1333,122,2026-01-21,1
5091,1188,112,2025-10-13,4
5092,467,183,2025-02-25,3
5093,960,180,2025-03-01,2
5094,1809,126,2025-08-05,5
5095,814,169,2025-05-24,3
5096,889,139,2025-08-30,4
5097,1552,182,2026-01-28,5
5098,1323,140,2025-03-10,1
5099,97,185,2025-08-02,4
5100,1896,119,2025-04-15,4
5101,630,182,2025-10-26,3
5102,90,160,2025-10-28,4
5103,1666,129,2025-07-06,3
5104,293,117,2025-04-04,2
5105,574,180,2025-03-28,4
5106,707,157,2025-07-16,4
5107,1884,128,2025-04-15,4
5108,1373,188,2025-04-28,2
5109,309,158,2026-01-22,4
5110,1054,147,2026-01-17,5
5111,427,121,2026-01-26,5
5112,505,196,2025-04-17,5
5113,876,147,2025-02-18,3
5114,1016,171,2025-08-07,4
5115,518,175,2025-05-09,3
5116,743,194,2026-01-05,5
5117,148,172,2025-03-13,3
5118,1189,104,2026-01-13,2
5119,1463,173,2025-03-19,5
5120,958,195,2025-04-03,4
5121,1628,126,2025-09-24,4
5122,12,143,2026-01-26,3
5123,1763,137,2025-08-02,1
5124,1777,109,2025-03-08,2
5125,1409,171,2025-07-12,2
5126,89,158,2025-04-13,4
5127,644,191,2025-06-10,3
5128,1014,156,2025-11-09,2
5129,1486,150,2025-06-21,3
5130,336,147,2025-12-21,5
5131,27,162,2025-04-29,4
5132,811,127,2025-04-08,5
5133,300,147,2025-05-27,1
5134,528,163,2025-09-16,1
5135,1653,155,2026-01-09,4
5136,1387,154,2025-08-29,1
5137,528,132,2025-04-26,5
5138,823,195,2025-11-23,2
5139,1346,162,2025-06-21,4
5140,1261,147,2025-06-05,1
5141,520,175,2025-09-15,3
5142,195,185,2025-03-10,4
5143,1047,191,2025-11-21,3
5144,441,186,2026-01-15,1
5145,774,106,2025-12-14,5
5146,810,102,2025-07-13,2
5147,1085,182,2025-11-17,1
5148,1655,108,2025-11-17,2
5149,1070,133,2026-01-16,3
5150,1782,135,2025-06-18,5
5151,195,104,2025-11-27,4
5152,1897,122,2025-07-19,2
5153,1464,170,2025-09-02,2
5154,327,163,2025-05-16,5
5155,1413,113,2025-04-21,2
5156,235,161,2025-09-19,3
5157,1549,121,2025-04-19,4
5158,344,179,2025-10-23,4
5159,1063,111,2025-05-01,5
5160,491,149,2025-10-27,1
5161,1017,103,2025-02-25,3
5162,219,139,2026-01-14,1
5163,1532,122,2025-03-26,1
5164,1202,179,2025-10-08,4
5165,1159,187,2025-08-02,4
5166,307,143,2025-10-26,4
5167,115,161,2025-12-30,2
5168,1317,150,2025-08-06,2
5169,1766,145,2025-08-25,3
5170,1719,158,2025-12-04,4
5171,861,103,2025-08-04,2
5172,646,101,2026-01-10,4
5173,920,174,2025-02-16,2
5174,961,144,2025-06-04,3
5175,517,167,2026-01-05,2
5176,1059,186,2025-09-03,3
5177,1144,120,2025-09-15,3
5178,1788,199,2025-12-01,4
5179,1134,187,2026-01-03,5
5180,27,156,2025-03-14,5
5181,654,181,2025-10-02,3
5182,859,165,2025-11-26,2
5183,1406,137,2025-11-09,1
5184,182,173,2025-11-17,3
5185,655,151,2025-10-12,2
5186,706,184,2025-12-08,5
5187,1909,173,2025-07-20,5
5188,811,128,2025-12-22,5
5189,54,108,2025-02-09,3
5190,718,157,2026-01-29,5
5191,750,151,2025-10-27,1
5192,1923,192,2025-04-19,1
5193,1318,136,2025-07-16,3
5194,1984,115,2025-09-10,4
5195,377,191,2025-11-29,5
5196,342,122,2025-08-10,3
5197,1475,183,2025-03-14,3
5198,427,161,2025-07-27,2
5199,1127,197,2025-12-14,4
5200,1504,183,2025-02-11,1
5201,368,128,2025-04-25,1
5202,973,135,2025-12-09,5
5203,1293,115,2025-12-07,4
5204,808,154,2025-03-10,1
5205,1932,154,2025-02-22,4
5206,279,113,2025-11-24,4
5207,844,162,2025-09-01,4
5208,1224,188,2025-07-15,3
5209,763,148,2025-08-10,4
5210,584,167,2025-07-08,5
5211,852,194,2025-05-24,1
5212,226,152,2025-08-10,1
5213,222,114,2025-04-12,2
5214,1288,126,2025-11-23,2
5215,35,173,2025-12-15,4
5216,404,198,2025-09-05,2
5217,478,132,2025-02-06,1
5218,1593,158,2025-10-12,5
5219,680,110,2025-05-19,5
5220,1292,173,2025-03-09,4
5221,1615,192,2025-08-19,5
5222,42,152,2025-06-10,2
5223,472,196,2025-05-06,5
5224,3,156,2025-08-25,5
5225,431,182,2025-05-05,5
5226,1872,177,2025-05-11,5
5227,1029,189,2025-08-01,4
5228,1086,194,2025-10-16,5
5229,1429,171,2025-10-16,2
5230,1813,160,2025-10-11,5
5231,180,193,2025-11-23,4
5232,642,188,2025-11-22,2
5233,874,146,2025-12-10,1
5234,123,126,2025-02-20,1
5235,229,122,2025-11-05,3
5236,573,190,2025-11-07,3
5237,515,102,2025-03-10,1
5238,1082,101,2025-03-23,2
5239,745,145,2026-02-02,1
5240,138,181,2025-07-28,2
5241,427,102,2025-09-15,3
5242,1221,186,2025-10-28,4
5243,850,176,2025-06-30,3
5244,1451,189,2025-12-21,5
5245,980,187,2025-08-22,2
5246,1001,108,2026-01-14,2
5247,1103,155,2025-09-20,3
5248,1565,125,2025-02-26,3
5249,729,192,2025-11-27,5
5250,1277,158,2025-12-20,2
5251,506,120,2026-01-16,3
5252,1195,102,2025-06-19,2
5253,1968,156,2025-11-01,1
5254,656,134,2025-11-07,4
5255,852,153,2025-11-25,3
5256,1754,118,2025-03-10,3
5257,1258,124,2025-07-30,1
5258,635,129,2025-12-30,2
5259,1445,141,2025-10-23,5
5260,1234,163,2025-03-25,4
5261,236,184,2025-10-12,3
5262,1155,128,2025-06-01,2
5263,227,177,2026-01-30,1
5264,1593,127,2025-12-21,2
5265,899,110,2025-12-22,3
5266,388,125,2025-05-18,4
5267,1845,158,2025-08-29,2
5268,168,130,2025-10-30,3
5269,1153,200,2025-03-09,5
5270,1529,109,2026-01-14,2
5271,424,188,2025-10-30,1
5272,835,107,2025-05-06,2
5273,255,184,2025-08-28,1
5274,1441,118,2026-01-06,4
5275,1982,167,2025-10-12,5
5276,267,124,2025-02-13,2
5277,591,137,2025-05-14,2
5278,1514,122,2025-11-30,2
5279,555,141,2025-03-31,1
5280,716,116,2025-09-16,5
5281,1716,173,2025-03-15,4
5282,763,145,2025-04-22,1
5283,411,116,2026-02-02,4
5284,506,189,2025-11-01,4
5285,893,157,2025-10-04,1
5286,94,134,2025-10-20,1
5287,1350,150,2025-05-23,1
5288,195,157,2025-11-22,2
5289,1153,197,2025-02-17,4
5290,570,169,2025-09-02,1
5291,717,167,2025-03-30,2
5292,214,101,2025-04-12,4
5293,525,156,2025-07-27,2
5294,795,105,2025-09-23,3
5295,1543,117,2025-10-19,3
5296,889,130,2025-07-02,4
5297,1935,163,2025-12-06,4
5298,1889,107,2026-01-09,3
5299,368,146,2025-05-11,3
5300,72,171,2025-09-14,1
5301,30,129,2025-08-21,4
5302,486,158,2025-08-22,4
5303,1428,184,2025-09-14,1
5304,1084,159,2025-05-02,2
5305,1590,200,2025-10-28,4
5306,440,181,2025-08-23,2
5307,1673,102,2025-03-09,1
5308,505,105,2025-04-09,2
5309,532,102,2025-09-07,5
5310,974,120,2026-01-08,2
5311,230,174,2025-10-01,4
5312,1918,159,2025-08-02,5
5313,1696,200,2025-11-12,3
5314,278,177,2025-12-28,5
5315,144,192,2025-03-19,1
5316,1144,185,2025-08-15,3
5317,1326,120,2025-11-13,2
5318,1820,144,2025-11-11,2
5319,1777,105,2025-04-11,3
5320,360,127,2025-12-03,5
5321,1575,121,2025-08-19,1
5322,225,189,2025-04-18,2
5323,129,166,2026-01-04,3
5324,1192,125,2025-03-25,1
5325,1066,139,2025-07-17,2
5326,549,160,2025-10-21,2
5327,535,104,2025-12-29,3
5328,736,150,2025-06-28,3
5329,1514,157,2025-10-12,1
5330,1867,165,2025-06-06,3
5331,1434,193,2026-01-02,5
5332,862,170,2025-03-10,4
5333,1760,133,2025-12-08,2
5334,1251,155,2025-09-12,3
5335,1842,165,2025-10-15,3
5336,895,182,2025-05-16,2
5337,1556,143,2025-08-04,4
5338,145,146,2025-03-25,4
5339,386,151,2025-05-08,2
5340,199,128,2025-08-11,5
5341,587,145,2025-12-27,2
5342,1519,119,2025-02-18,2
5343,599,145,2025-10-18,3
5344,738,134,2025-08-18,2
5345,1282,143,2025-10-04,1
5346,899,158,2025-03-31,4
